SIDO_NM,CCG_NM,LAWD_CD,LON,LAT,N_STORES
대전광역시,유성구,30200,127.34661622735818,36.37147134240898,19141
대전광역시,중구,30140,127.41283639025451,36.32110499137608,13483
부산광역시,강서구,26440,128.9092206004779,35.12217597805153,8157
부산광역시,금정구,26410,129.09214912698855,35.23919390736018,10318
부산광역시,기장군,26710,129.20929179513016,35.278715839441205,8745
부산광역시,남구,26290,129.09368136780043,35.13154050357619,9532
부산광역시,동구,26170,129.04958475093036,35.12921803006211,6930
부산광역시,동래구,26260,129.08254857166884,35.204207448624956,12002
부산광역시,부산진구,26230,129.05412358704214,35.15913113406583,21012
부산광역시,북구,26320,129.01301616130698,35.2180863875302,8677
부산광역시,사상구,26530,128.98713423829102,35.16041788944217,9599
부산광역시,사하구,26380,128.97682914753742,35.09105727094086,10862
부산광역시,서구,26140,129.01876793331218,35.1006979218864,4009
부산광역시,수영구,26500,129.11473944867643,35.1592830257859,10214
부산광역시,연제구,26470,129.08388493046175,35.18564371419134,10309
부산광역시,영도구,26200,129.05320167469426,35.08633573389323,4105
부산광역시,중구,26110,129.03085159359148,35.10182552246565,7465
부산광역시,해운대구,26350,129.15156065633582,35.17781720507945,17753
서울특별시,강남구,11680,127.0440375298912,37.506157788764796,66269
서울특별시,강동구,11740,127.13939554137474,37.542630643786346,19748
서울특별시,강북구,11305,127.02379695581472,37.63162374031031,12604
서울특별시,강서구,11500,126.83808562734471,37.55461471224602,27098
서울특별시,관악구,11620,126.93835627547091,37.48021923313186,20325
서울특별시,광진구,11215,127.0814004774257,37.54602039921794,18877
서울특별시,구로구,11530,126.87430218155946,37.4936863117779,18559
서울특별시,금천구,11545,126.8914500229207,37.470580171544015,18353
서울특별시,노원구,11350,127.06870490527524,37.64713345878588,15686
서울특별시,도봉구,11320,127.03961446697059,37.65862175787373,10610
서울특별시,동대문구,11230,127.05275414776622,37.5793194795728,17303
서울특별시,동작구,11590,126.95039346086423,37.497765794425746,14187
서울특별시,마포구,11440,126.92416515899002,37.55484434248859,32102
서울특별시,서대문구,11410,126.93717360538483,37.57170768913098,14152
서울특별시,서초구,11650,127.01586049088556,37.49059504277267,40115
서울특별시,성동구,11200,127.04434919553846,37.55122656161,17782
서울특별시,성북구,11290,127.0268675254207,37.60031688564614,15889
서울특별시,송파구,11710,127.11500530151217,37.50076634159542,34860
서울특별시,양천구,11470,126.85907390726443,37.52789070556284,16015
서울특별시,영등포구,11560,126.9068583809141,37.5178294204213,29425
서울특별시,용산구,11170,126.9789890179888,37.53679456120393,16301
서울특별시,은평구,11380,126.91963539941182,37.60840616886241,16363
서울특별시,종로구,11110,126.98961991371968,37.57638860473835,21616
서울특별시,중구,11140,126.9939309827168,37.56308828357559,24801
서울특별시,중랑구,11260,127.08757449423841,37.596058887196705,15052
세종특별자치시,세종특별자치시,36110,127.27166091275767,36.523565696867855,15816
울산광역시,남구,31140,129.3147889867061,35.537731867308416,20277
울산광역시,동구,31170,129.4253658285606,35.506003477387964,6262
울산광역시,북구,31200,129.36757388810645,35.60492729191702,8005
울산광역시,울주군,31710,129.22046556995508,35.51061445612713,10504
울산광역시,중구,31110,129.32158360158252,35.56164735256278,9689
인천광역시,강화군,28710,126.45224766191369,37.700303066276085,5466
인천광역시,계양구,28245,126.73036788605562,37.53908777120138,11085
인천광역시,남동구,28200,126.71824804644474,37.43915880509528,23034
인천광역시,동구,28140,126.64154943482025,37.47913510171968,2873
인천광역시,미추홀구,28177,126.6686626793234,37.45518829826161,18885
인천광역시,부평구,28237,126.7215747122366,37.49845061479358,21155
인천광역시,서구,28260,126.66720390186879,37.54513844778949,25074
인천광역시,연수구,28185,126.65729904154367,37.40249917005631,17061
인천광역시,옹진군,28720,125.93138515827482,37.47403533537468,1818
인천광역시,중구,28110,126.55442781680995,37.476760484535276,10544
전라남도,강진군,46810,126.7727366902257,34.617710273881585,1944
전라남도,고흥군,46770,127.26779618734415,34.57895168940476,3159
전라남도,곡성군,46720,127.25090019440047,35.25284726696269,1338
전라남도,광양시,46230,127.65739603480246,34.960614582383684,7950
전라남도,구례군,46730,127.48038847475945,35.224363496557956,1727
전라남도,나주시,46170,126.75719486765898,35.01925258728707,6339
전라남도,담양군,46710,126.98076972421605,35.30342020170269,2686
전라남도,목포시,46110,126.40523435870449,34.80329282916142,13370
전라남도,무안군,46840,126.45132689367199,34.88866297711186,4601
전라남도,보성군,46780,127.19229517937724,34.79332392427224,1996
전라남도,순천시,46150,127.50299226883935,34.95211882157253,15103
전라남도,신안군,46910,126.01309182828764,34.83592195917616,1678
전라남도,여수시,46130,127.6872424733013,34.74290345849631,16429
전라남도,영광군,46870,126.47683309927297,35.29300082476141,2752
전라남도,영암군,46830,126.55296446004374,34.77734250891985,2686
전라남도,완도군,46890,126.75893494726708,34.29886431512963,2813
전라남도,장성군,46880,126.77282601029351,35.30446250956523,2035
전라남도,장흥군,46800,126.9197794601874,34.64577879340349,1953
전라남도,진도군,46900,126.25220463812853,34.46266107133319,1647
전라남도,함평군,46860,126.53542563813872,35.09149867928486,1317
전라남도,해남군,46820,126.55349390091584,34.54528950053053,3542
전라남도,화순군,46790,126.98700173236605,35.04503056582558,2887
전북특별자치도,고창군,52790,126.65295679858357,35.4482072534915,2677
전북특별자치도,군산시,52130,126.70184802870445,35.9659632858405,15060
전북특별자치도,김제시,52210,126.91052301980677,35.80287883025242,4034
전북특별자치도,남원시,52190,127.41741851900605,35.41463415768159,4699
전북특별자치도,무주군,52730,127.70968203971735,35.951958075319794,1727
전북특별자치도,부안군,52800,126.65375768059201,35.683655888005454,3217
전북특별자치도,순창군,52770,127.12228702274956,35.392665207525866,1276
전북특별자치도,완주군,52710,127.13972599343613,35.902580800688284,5086
전북특별자치도,익산시,52140,126.9689895042965,35.961343696102276,14002
전북특별자치도,임실군,52750,127.26178262118083,35.60013920280157,1213
전북특별자치도,장수군,52740,127.54424688868686,35.67643886806188,999
전북특별자치도,전주시 덕진구,52113,127.12547939671929,35.848127122221086,16908
전북특별자치도,전주시 완산구,52111,127.12321280351172,35.813884157021114,21209
전북특별자치도,정읍시,52180,126.86676746743393,35.578847023653374,5400
