상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명
R1,예술·스포츠,R104,유원지·오락,R10414,바둑/장기/체스 경기 운영업
R1,예술·스포츠,R104,유원지·오락,R10410,복권 발행/판매업
R1,예술·스포츠,R104,유원지·오락,R10402,비디오방
R1,예술·스포츠,R104,유원지·오락,R10409,수상/해양 레저업
R1,예술·스포츠,R104,유원지·오락,R10404,전자 게임장
I2,음식,I207,구내식당·뷔페,I20701,구내식당
I2,음식,I207,구내식당·뷔페,I20702,뷔페
I2,음식,I210,기타 간이,I21099,그 외 기타 간이 음식점
I2,음식,I210,기타 간이,I21007,김밥/만두/분식
I2,음식,I210,기타 간이,I21002,떡/한과
I2,음식,I210,기타 간이,I21004,버거
I2,음식,I210,기타 간이,I21001,빵/도넛
I2,음식,I210,기타 간이,I21008,아이스크림/빙수
I2,음식,I210,기타 간이,I21006,치킨
I2,음식,I210,기타 간이,I21005,토스트/샌드위치/샐러드
I2,음식,I210,기타 간이,I21003,피자
I2,음식,I206,기타 외국,I20601,분류 안된 외국식 음식점
I2,음식,I205,동남아시아,I20599,기타 동남아식 전문
I2,음식,I205,동남아시아,I20501,베트남식 전문
I2,음식,I212,비알코올 ,I21201,카페
I2,음식,I204,서양식,I20401,경양식
I2,음식,I204,서양식,I20499,기타 서양식 음식점
I2,음식,I204,서양식,I20402,파스타/스테이크
I2,음식,I204,서양식,I20403,패밀리레스토랑
I2,음식,I203,일식,I20399,기타 일식 음식점
I2,음식,I203,일식,I20303,일식 면 요리
I2,음식,I203,일식,I20302,일식 카레/돈가스/덮밥
I2,음식,I203,일식,I20301,일식 회/초밥
I2,음식,I211,주점,I21102,무도 유흥 주점
I2,음식,I211,주점,I21103,생맥주 전문
I2,음식,I211,주점,I21104,요리 주점
I2,음식,I211,주점,I21101,일반 유흥 주점
I2,음식,I202,중식,I20202,마라탕/훠궈
I2,음식,I202,중식,I20201,중국집
I2,음식,I201,한식,I20109,곱창 전골/구이
I2,음식,I201,한식,I20102,국/탕/찌개류
I2,음식,I201,한식,I20105,국수/칼국수
I2,음식,I201,한식,I20199,기타 한식 음식점
I2,음식,I201,한식,I20106,냉면/밀면
I2,음식,I201,한식,I20110,닭/오리고기 구이/찜
I2,음식,I201,한식,I20107,돼지고기 구이/찜
I2,음식,I201,한식,I20101,백반/한정식
I2,음식,I201,한식,I20113,복 요리 전문
I2,음식,I201,한식,I20108,소고기 구이/찜
I2,음식,I201,한식,I20104,전/부침개
I2,음식,I201,한식,I20103,족발/보쌈
I2,음식,I201,한식,I20112,해산물 구이/찜
I2,음식,I201,한식,I20111,횟집
